ID,GENDER,Poste 1,Entreprise 1,Duree 1,Poste 2,Entreprise 2,Duree 2,Poste 3,Entreprise 3,Duree 3,Poste 4,Entreprise 4,Duree 4,Poste 5,Entreprise 5,Duree 5,Poste 6,Entreprise 6,Duree 6,Poste 7,Entreprise 7,Duree 7,Poste 8,Entreprise 8,Duree 8,Poste 9,Entreprise 9,Duree 9,Poste 10,Entreprise 10,Duree 10,Ecole 1,Diplome 1,Domaine 1,Ecole 2,Diplome 2,Domaine 2,Ecole 3,Diplome 3,Domaine 3,Ecole 4,Diplome 4,Domaine 4,Ecole 5,Diplome 5,Domaine 5,Ecole 6,Diplome 6,Domaine 6,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20,Skill 21,Skill 22,Skill 23,Skill 24,Skill 25
1,male,Data Scientist,TOTAL Oil Trading S.A ,16,Data Scientist,Orange ,8,stage en data science,Web marketing ,6,Attaché Temporaire d'Enseignement et de Recherche,Université François-Rabelais de Tours ,7,"➢ Participation to many workshops on image processing using statistics and the incorporation of
signal processing using Fourier analysis in this case.",non,none,,,,,,,,,,,,,,,,University of Paris VI  -  Paris (75),Master degree in Data Science,Data Science,University of Orleans  -  Orléans (45),PhD,Mathematics,,,,,,,,,,,,,APACHE CASSANDRA,APACHE HADOOP HDFS,ASTERADATA,python,,,,,,,,,,,,,,,,,,,,,
2,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aalto University  -  Espoo, FI",Master of Science,Computer Science: Machine Learning and Data Mining,,,,,,,,,,,,,,,,Computer Skills Matlab/Octave,R,Python,SQL,Tableau,,,,,,,,,,,,,,,,,,,,
3,male,Consulting Scientist,Owner ,32,Head of Biomechanics / Ergonomics,ESP Consulting ,16,R&D Engineer,Human Motion Institute ,12,,,,,,,,,,,,,,,,,,,,,,University of Poitiers  -  Poitiers (86),PhD,Biomedical Engineering and Biomechanics,,,,,,,,,,,,,,,,matlab,Microsoft Office,statistiques,biomechanics,physiology,machine learning,big data,motion sensor,,,,,,,,,,,,,,,,,
4,male,"Data Scientist Intern, Caisse des Dépôts et Consignations",non,4,ShorTouch Ambassador,-,1,Junior Data Scientist,ShorTouch -,3,,,,,,,,,,,,,,,,,,,,,,"Engineering French ""Grande Ecole"" Cursus at ENSAE ParisTech  -  Ponts (50)",statistics & data science,NA,Lycée Saint Louis  -  Paris (75),mathematics,NA,,,,,,,,,,,,,MICROSOFT OFFICE,MS OFFICE,SAS,,,,,,,,,,,,,,,,,,,,,,
5,male,Senior Data Scientist,Dhatim ,30,Development Team  -  Amsterdam -,2014,none,Airbus  -  Toulouse (31) -,2013,none,,,,,,,,,,,,,,,,,,,,,,Télécom ParisTech  -  Paris (75),Master in Science Machine Learning & Big Data,Computer Science,,,,,,,,,,,,,,,,Programming Languages: Python,Java,Database Skills: SQL  Knowledgeof softwares: R,Matlab,Hadoop Statistics Machine Learning,Data Mining,Times Series,DynamicRegression,Sparse method,GLM,Experimental Design,Sensitivity Analysis,Spatial Statistics MathematicsOperational Research,Optimization,Inverse Problem,Wavelet Analysis,Partial Differential Equation,,keras,tensorflow,scikit-learn,numpy,,,
6,male,Data scientist,Hostnfly ,1,Data and business analyst,Compte épargne ,4,Volunteer,Nagarkot (Nepal) -,1,,,,,,,,,,,,,,,,,,,,,,"ENSAE ParisTech  -  Paris, FR",MSc.,Economics and Applied Mathematics,,,,,,,,,,,,,,,,Data analysis,Machine learning,MARKETING ANALYSIS,PHP,,,,,,,,,,,,,,,,,,,,,
7,male,Machine Learning Specialist,Supper & Supper GmbH ,5,Head of the Scientific Team (Honorary),Henisaja GmbH ,14,Web development manager,Helmholtz Zentrum München ,30,Graduate student - Chemoinformatics and Ecotoxicity,Early stage researcher (ITN,52,"• Conception and development of a database focusing on chemicals
influencing diabetes
• Execution of the molecular data & text mining",Early stage researcher (ITN,none,"Early stage researcher (ITN - Marie Curie Fellowship) under Prof. Dr. W.J.G.M. Peijnenburg
• Development of a new molecular description method, to perform data
mining on nanoparticles.
• Execution of the data mining",non,none,,,,,,,,,,,,,Université de Strasbourg  -  Strasbourg (67),MSc,Chemoinformatics,,,,,,,,,,,,,,,,CSS,HTML,java,R,linux,Weka,Bash,python,C,Microsoft office,,,,,,,,,,,,,,,
8,,Data Scientist,TeamUnit IT ,none,Oracle  -  Colombes (92) -,juillet 2016,none,BNP Parisbas - L'IMT ParisTech  -  Paris (75) -,octobre 2015,none,"Technical Support Engineer, Customer Representative",Comverse ,181,DBA,Bouygues -,13,"1997 - 2000 Responsible of product of 'TeamRadio' - Dalet Digital Media Systems
Dalet Digital",non,none,octobre 2017,non,none,octobre 2017,"Prediction of sales force for products of French group Yves Rocher.
TeamUnit IT with Time-Series Forecasting concept (and Random Forest algorithm).",none,2015,"Prediction of sales force for products of French group 'Yves Rocher'.
with Time-Series Forecasting concept and Random Forest (ML) algorithm.",none,,,,"Informatique, machine learning",Mastère  Spécialise , gestion  et  traitement  des  données  massives  (BigData)  en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,GENDER,Poste 1,Entreprise 1,Duree 1,Poste 2,Entreprise 2,Duree 2,Poste 3,Entreprise 3,Duree 3,Poste 4,Entreprise 4,Duree 4,Poste 5,Entreprise 5,Duree 5,Poste 6,Entreprise 6,Duree 6,Poste 7,Entreprise 7,Duree 7,Poste 8,Entreprise 8,Duree 8,Poste 9,Entreprise 9,Duree 9,Poste 10,Entreprise 10,Duree 10,Ecole 1,Diplome 1,Domaine 1,Ecole 2,Diplome 2,Domaine 2,Ecole 3,Diplome 3,Domaine 3,Ecole 4,Diplome 4,Domaine 4,Ecole 5,Diplome 5,Domaine 5,Ecole 6,Diplome 6,Domaine 6,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20,Skill 21,Skill 22,Skill 23,Skill 24,Skill 25
1,male,Data Scientist,TOTAL Oil Trading S.A ,16,Data Scientist,Orange ,8,stage en data science,Web marketing ,6,Attaché Temporaire d'Enseignement et de Recherche,Université François-Rabelais de Tours ,7,"➢ Participation to many workshops on image processing using statistics and the incorporation of
signal processing using Fourier analysis in this case.",non,none,,,,,,,,,,,,,,,,University of Paris VI  -  Paris (75),Master degree in Data Science,Data Science,University of Orleans  -  Orléans (45),PhD,Mathematics,,,,,,,,,,,,,APACHE CASSANDRA,APACHE HADOOP HDFS,ASTERADATA,python,,,,,,,,,,,,,,,,,,,,,
2,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aalto University  -  Espoo, FI",Master of Science,Computer Science: Machine Learning and Data Mining,,,,,,,,,,,,,,,,Computer Skills Matlab/Octave,R,Python,SQL,Tableau,,,,,,,,,,,,,,,,,,,,
3,male,Consulting Scientist,Owner ,32,Head of Biomechanics / Ergonomics,ESP Consulting ,16,R&D Engineer,Human Motion Institute ,12,,,,,,,,,,,,,,,,,,,,,,University of Poitiers  -  Poitiers (86),PhD,Biomedical Engineering and Biomechanics,,,,,,,,,,,,,,,,matlab,Microsoft Office,statistiques,biomechanics,physiology,machine learning,big data,motion sensor,,,,,,,,,,,,,,,,,
4,male,"Data Scientist Intern, Caisse des Dépôts et Consignations",non,4,ShorTouch Ambassador,-,1,Junior Data Scientist,ShorTouch -,3,,,,,,,,,,,,,,,,,,,,,,"Engineering French ""Grande Ecole"" Cursus at ENSAE ParisTech  -  Ponts (50)",statistics & data science,NA,Lycée Saint Louis  -  Paris (75),mathematics,NA,,,,,,,,,,,,,MICROSOFT OFFICE,MS OFFICE,SAS,,,,,,,,,,,,,,,,,,,,,,
5,male,Senior Data Scientist,Dhatim ,30,Development Team  -  Amsterdam -,2014,none,Airbus  -  Toulouse (31) -,2013,none,,,,,,,,,,,,,,,,,,,,,,Télécom ParisTech  -  Paris (75),Master in Science Machine Learning & Big Data,Computer Science,,,,,,,,,,,,,,,,Programming Languages: Python,Java,Database Skills: SQL  Knowledgeof softwares: R,Matlab,Hadoop Statistics Machine Learning,Data Mining,Times Series,DynamicRegression,Sparse method,GLM,Experimental Design,Sensitivity Analysis,Spatial Statistics MathematicsOperational Research,Optimization,Inverse Problem,Wavelet Analysis,Partial Differential Equation,,keras,tensorflow,scikit-learn,numpy,,,
6,male,Data scientist,Hostnfly ,1,Data and business analyst,Compte épargne ,4,Volunteer,Nagarkot (Nepal) -,1,,,,,,,,,,,,,,,,,,,,,,"ENSAE ParisTech  -  Paris, FR",MSc.,Economics and Applied Mathematics,,,,,,,,,,,,,,,,Data analysis,Machine learning,MARKETING ANALYSIS,PHP,,,,,,,,,,,,,,,,,,,,,
7,male,Machine Learning Specialist,Supper & Supper GmbH ,5,Head of the Scientific Team (Honorary),Henisaja GmbH ,14,Web development manager,Helmholtz Zentrum München ,30,Graduate student - Chemoinformatics and Ecotoxicity,Early stage researcher (ITN,52,"• Conception and development of a database focusing on chemicals
influencing diabetes
• Execution of the molecular data & text mining",Early stage researcher (ITN,none,"Early stage researcher (ITN - Marie Curie Fellowship) under Prof. Dr. W.J.G.M. Peijnenburg
• Development of a new molecular description method, to perform data
mining on nanoparticles.
• Execution of the data mining",non,none,,,,,,,,,,,,,Université de Strasbourg  -  Strasbourg (67),MSc,Chemoinformatics,,,,,,,,,,,,,,,,CSS,HTML,java,R,linux,Weka,Bash,python,C,Microsoft office,,,,,,,,,,,,,,,
8,,Data Scientist,TeamUnit IT ,none,Oracle  -  Colombes (92) -,juillet 2016,none,BNP Parisbas - L'IMT ParisTech  -  Paris (75) -,octobre 2015,none,"Technical Support Engineer, Customer Representative",Comverse ,181,DBA,Bouygues -,13,"1997 - 2000 Responsible of product of 'TeamRadio' - Dalet Digital Media Systems
Dalet Digital",non,none,octobre 2017,non,none,octobre 2017,"Prediction of sales force for products of French group Yves Rocher.
TeamUnit IT with Time-Series Forecasting concept (and Random Forest algorithm).",none,2015,"Prediction of sales force for products of French group 'Yves Rocher'.
with Time-Series Forecasting concept and Random Forest (ML) algorithm.",none,,,,"Informatique, machine learning",Mastère  Spécialise , gestion  et  traitement  des  données  massives  (BigData)  en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,GENDER,Poste 1,Entreprise 1,Duree 1,Poste 2,Entreprise 2,Duree 2,Poste 3,Entreprise 3,Duree 3,Poste 4,Entreprise 4,Duree 4,Poste 5,Entreprise 5,Duree 5,Poste 6,Entreprise 6,Duree 6,Poste 7,Entreprise 7,Duree 7,Poste 8,Entreprise 8,Duree 8,Poste 9,Entreprise 9,Duree 9,Poste 10,Entreprise 10,Duree 10,Ecole 1,Diplome 1,Domaine 1,Ecole 2,Diplome 2,Domaine 2,Ecole 3,Diplome 3,Domaine 3,Ecole 4,Diplome 4,Domaine 4,Ecole 5,Diplome 5,Domaine 5,Ecole 6,Diplome 6,Domaine 6,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20,Skill 21,Skill 22,Skill 23,Skill 24,Skill 25
1,male,Data Scientist,TOTAL Oil Trading S.A ,16,Data Scientist,Orange ,8,stage en data science,Web marketing ,6,Attaché Temporaire d'Enseignement et de Recherche,Université François-Rabelais de Tours ,7,"➢ Participation to many workshops on image processing using statistics and the incorporation of
signal processing using Fourier analysis in this case.",non,none,,,,,,,,,,,,,,,,University of Paris VI  -  Paris (75),Master degree in Data Science,Data Science,University of Orleans  -  Orléans (45),PhD,Mathematics,,,,,,,,,,,,,APACHE CASSANDRA,APACHE HADOOP HDFS,ASTERADATA,python,,,,,,,,,,,,,,,,,,,,,
ID,GENDER,Poste 1,Entreprise 1,Duree 1,Poste 2,Entreprise 2,Duree 2,Poste 3,Entreprise 3,Duree 3,Poste 4,Entreprise 4,Duree 4,Poste 5,Entreprise 5,Duree 5,Poste 6,Entreprise 6,Duree 6,Poste 7,Entreprise 7,Duree 7,Poste 8,Entreprise 8,Duree 8,Poste 9,Entreprise 9,Duree 9,Poste 10,Entreprise 10,Duree 10,Ecole 1,Diplome 1,Domaine 1,Ecole 2,Diplome 2,Domaine 2,Ecole 3,Diplome 3,Domaine 3,Ecole 4,Diplome 4,Domaine 4,Ecole 5,Diplome 5,Domaine 5,Ecole 6,Diplome 6,Domaine 6,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20,Skill 21,Skill 22,Skill 23,Skill 24,Skill 25
1,male,Data Scientist,TOTAL Oil Trading S.A ,16,Data Scientist,Orange ,8,stage en data science,Web marketing ,6,Attaché Temporaire d'Enseignement et de Recherche,Université François-Rabelais de Tours ,7,"➢ Participation to many workshops on image processing using statistics and the incorporation of
signal processing using Fourier analysis in this case.",non,none,,,,,,,,,,,,,,,,University of Paris VI  -  Paris (75),Master degree in Data Science,Data Science,University of Orleans  -  Orléans (45),PhD,Mathematics,,,,,,,,,,,,,APACHE CASSANDRA,APACHE HADOOP HDFS,ASTERADATA,python,,,,,,,,,,,,,,,,,,,,,
2,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aalto University  -  Espoo, FI",Master of Science,Computer Science: Machine Learning and Data Mining,,,,,,,,,,,,,,,,Computer Skills Matlab/Octave,R,Python,SQL,Tableau,,,,,,,,,,,,,,,,,,,,
2,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aalto University  -  Espoo, FI",Master of Science,Computer Science: Machine Learning and Data Mining,,,,,,,,,,,,,,,,Computer Skills Matlab/Octave,R,Python,SQL,Tableau,,,,,,,,,,,,,,,,,,,,
3,male,Consulting Scientist,Owner ,32,Head of Biomechanics / Ergonomics,ESP Consulting ,16,R&D Engineer,Human Motion Institute ,12,,,,,,,,,,,,,,,,,,,,,,University of Poitiers  -  Poitiers (86),PhD,Biomedical Engineering and Biomechanics,,,,,,,,,,,,,,,,matlab,Microsoft Office,statistiques,biomechanics,physiology,machine learning,big data,motion sensor,,,,,,,,,,,,,,,,,
4,male,"Data Scientist Intern, Caisse des Dépôts et Consignations",non,4,ShorTouch Ambassador,-,1,Junior Data Scientist,ShorTouch -,3,,,,,,,,,,,,,,,,,,,,,,"Engineering French ""Grande Ecole"" Cursus at ENSAE ParisTech  -  Ponts (50)",statistics & data science,NA,Lycée Saint Louis  -  Paris (75),mathematics,NA,,,,,,,,,,,,,MICROSOFT OFFICE,MS OFFICE,SAS,,,,,,,,,,,,,,,,,,,,,,
3,male,Consulting Scientist,Owner ,32,Head of Biomechanics / Ergonomics,ESP Consulting ,16,R&D Engineer,Human Motion Institute ,12,,,,,,,,,,,,,,,,,,,,,,University of Poitiers  -  Poitiers (86),PhD,Biomedical Engineering and Biomechanics,,,,,,,,,,,,,,,,matlab,Microsoft Office,statistiques,biomechanics,physiology,machine learning,big data,motion sensor,,,,,,,,,,,,,,,,,
5,male,Senior Data Scientist,Dhatim ,30,Development Team  -  Amsterdam -,2014,none,Airbus  -  Toulouse (31) -,2013,none,,,,,,,,,,,,,,,,,,,,,,Télécom ParisTech  -  Paris (75),Master in Science Machine Learning & Big Data,Computer Science,,,,,,,,,,,,,,,,Programming Languages: Python,Java,Database Skills: SQL  Knowledgeof softwares: R,Matlab,Hadoop Statistics Machine Learning,Data Mining,Times Series,DynamicRegression,Sparse method,GLM,Experimental Design,Sensitivity Analysis,Spatial Statistics MathematicsOperational Research,Optimization,Inverse Problem,Wavelet Analysis,Partial Differential Equation,,keras,tensorflow,scikit-learn,numpy,,,
4,male,"Data Scientist Intern, Caisse des Dépôts et Consignations",non,4,ShorTouch Ambassador,-,1,Junior Data Scientist,ShorTouch -,3,,,,,,,,,,,,,,,,,,,,,,"Engineering French ""Grande Ecole"" Cursus at ENSAE ParisTech  -  Ponts (50)",statistics & data science,NA,Lycée Saint Louis  -  Paris (75),mathematics,NA,,,,,,,,,,,,,MICROSOFT OFFICE,MS OFFICE,SAS,,,,,,,,,,,,,,,,,,,,,,
6,male,Data scientist,Hostnfly ,1,Data and business analyst,Compte épargne ,4,Volunteer,Nagarkot (Nepal) -,1,,,,,,,,,,,,,,,,,,,,,,"ENSAE ParisTech  -  Paris, FR",MSc.,Economics and Applied Mathematics,,,,,,,,,,,,,,,,Data analysis,Machine learning,MARKETING ANALYSIS,PHP,,,,,,,,,,,,,,,,,,,,,
5,male,Senior Data Scientist,Dhatim ,30,Development Team  -  Amsterdam -,2014,none,Airbus  -  Toulouse (31) -,2013,none,,,,,,,,,,,,,,,,,,,,,,Télécom ParisTech  -  Paris (75),Master in Science Machine Learning & Big Data,Computer Science,,,,,,,,,,,,,,,,Programming Languages: Python,Java,Database Skills: SQL  Knowledgeof softwares: R,Matlab,Hadoop Statistics Machine Learning,Data Mining,Times Series,DynamicRegression,Sparse method,GLM,Experimental Design,Sensitivity Analysis,Spatial Statistics MathematicsOperational Research,Optimization,Inverse Problem,Wavelet Analysis,Partial Differential Equation,,keras,tensorflow,scikit-learn,numpy,,,
7,male,Machine Learning Specialist,Supper & Supper GmbH ,5,Head of the Scientific Team (Honorary),Henisaja GmbH ,14,Web development manager,Helmholtz Zentrum München ,30,Graduate student - Chemoinformatics and Ecotoxicity,Early stage researcher (ITN,52,"• Conception and development of a database focusing on chemicals
influencing diabetes
• Execution of the molecular data & text mining",Early stage researcher (ITN,none,"Early stage researcher (ITN - Marie Curie Fellowship) under Prof. Dr. W.J.G.M. Peijnenburg
• Development of a new molecular description method, to perform data
mining on nanoparticles.
• Execution of the data mining",non,none,,,,,,,,,,,,,Université de Strasbourg  -  Strasbourg (67),MSc,Chemoinformatics,,,,,,,,,,,,,,,,CSS,HTML,java,R,linux,Weka,Bash,python,C,Microsoft office,,,,,,,,,,,,,,,
6,male,Data scientist,Hostnfly ,1,Data and business analyst,Compte épargne ,4,Volunteer,Nagarkot (Nepal) -,1,,,,,,,,,,,,,,,,,,,,,,"ENSAE ParisTech  -  Paris, FR",MSc.,Economics and Applied Mathematics,,,,,,,,,,,,,,,,Data analysis,Machine learning,MARKETING ANALYSIS,PHP,,,,,,,,,,,,,,,,,,,,,
8,,Data Scientist,TeamUnit IT ,none,Oracle  -  Colombes (92) -,juillet 2016,none,BNP Parisbas - L'IMT ParisTech  -  Paris (75) -,octobre 2015,none,"Technical Support Engineer, Customer Representative",Comverse ,181,DBA,Bouygues -,13,"1997 - 2000 Responsible of product of 'TeamRadio' - Dalet Digital Media Systems
Dalet Digital",non,none,octobre 2017,non,none,octobre 2017,"Prediction of sales force for products of French group Yves Rocher.
TeamUnit IT with Time-Series Forecasting concept (and Random Forest algorithm).",none,2015,"Prediction of sales force for products of French group 'Yves Rocher'.
with Time-Series Forecasting concept and Random Forest (ML) algorithm.",none,,,,"Informatique, machine learning",Mastère  Spécialise , gestion  et  traitement  des  données  massives  (BigData)  en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,GENDER,Poste 1,Entreprise 1,Duree 1,Poste 2,Entreprise 2,Duree 2,Poste 3,Entreprise 3,Duree 3,Poste 4,Entreprise 4,Duree 4,Poste 5,Entreprise 5,Duree 5,Poste 6,Entreprise 6,Duree 6,Poste 7,Entreprise 7,Duree 7,Poste 8,Entreprise 8,Duree 8,Poste 9,Entreprise 9,Duree 9,Poste 10,Entreprise 10,Duree 10,Ecole 1,Diplome 1,Domaine 1,Ecole 2,Diplome 2,Domaine 2,Ecole 3,Diplome 3,Domaine 3,Ecole 4,Diplome 4,Domaine 4,Ecole 5,Diplome 5,Domaine 5,Ecole 6,Diplome 6,Domaine 6,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20,Skill 21,Skill 22,Skill 23,Skill 24,Skill 25
1,male,Data Scientist,TOTAL Oil Trading S.A ,16,Data Scientist,Orange ,8,stage en data science,Web marketing ,6,Attaché Temporaire d'Enseignement et de Recherche,Université François-Rabelais de Tours ,7,"➢ Participation to many workshops on image processing using statistics and the incorporation of
signal processing using Fourier analysis in this case.",non,none,,,,,,,,,,,,,,,,University of Paris VI  -  Paris (75),Master degree in Data Science,Data Science,University of Orleans  -  Orléans (45),PhD,Mathematics,,,,,,,,,,,,,APACHE CASSANDRA,APACHE HADOOP HDFS,ASTERADATA,python,,,,,,,,,,,,,,,,,,,,,
ID,GENDER,Poste 1,Entreprise 1,Duree 1,Poste 2,Entreprise 2,Duree 2,Poste 3,Entreprise 3,Duree 3,Poste 4,Entreprise 4,Duree 4,Poste 5,Entreprise 5,Duree 5,Poste 6,Entreprise 6,Duree 6,Poste 7,Entreprise 7,Duree 7,Poste 8,Entreprise 8,Duree 8,Poste 9,Entreprise 9,Duree 9,Poste 10,Entreprise 10,Duree 10,Ecole 1,Diplome 1,Domaine 1,Ecole 2,Diplome 2,Domaine 2,Ecole 3,Diplome 3,Domaine 3,Ecole 4,Diplome 4,Domaine 4,Ecole 5,Diplome 5,Domaine 5,Ecole 6,Diplome 6,Domaine 6,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18,Skill 19,Skill 20,Skill 21,Skill 22,Skill 23,Skill 24,Skill 25
1,male,Data Scientist,TOTAL Oil Trading S.A ,16,Data Scientist,Orange ,8,stage en data science,Web marketing ,6,Attaché Temporaire d'Enseignement et de Recherche,Université François-Rabelais de Tours ,7,"➢ Participation to many workshops on image processing using statistics and the incorporation of
signal processing using Fourier analysis in this case.",non,none,,,,,,,,,,,,,,,,University of Paris VI  -  Paris (75),Master degree in Data Science,Data Science,University of Orleans  -  Orléans (45),PhD,Mathematics,,,,,,,,,,,,,APACHE CASSANDRA,APACHE HADOOP HDFS,ASTERADATA,python,,,,,,,,,,,,,,,,,,,,,
2,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aalto University  -  Espoo, FI",Master of Science,Computer Science: Machine Learning and Data Mining,,,,,,,,,,,,,,,,Computer Skills Matlab/Octave,R,Python,SQL,Tableau,,,,,,,,,,,,,,,,,,,,
2,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aalto University  -  Espoo, FI",Master of Science,Computer Science: Machine Learning and Data Mining,,,,,,,,,,,,,,,,Computer Skills Matlab/Octave,R,Python,SQL,Tableau,,,,,,,,,,,,,,,,,,,,
3,male,Consulting Scientist,Owner ,32,Head of Biomechanics / Ergonomics,ESP Consulting ,16,R&D Engineer,Human Motion Institute ,12,,,,,,,,,,,,,,,,,,,,,,University of Poitiers  -  Poitiers (86),PhD,Biomedical Engineering and Biomechanics,,,,,,,,,,,,,,,,matlab,Microsoft Office,statistiques,biomechanics,physiology,machine learning,big data,motion sensor,,,,,,,,,,,,,,,,,
3,male,Consulting Scientist,Owner ,32,Head of Biomechanics / Ergonomics,ESP Consulting ,16,R&D Engineer,Human Motion Institute ,12,,,,,,,,,,,,,,,,,,,,,,University of Poitiers  -  Poitiers (86),PhD,Biomedical Engineering and Biomechanics,,,,,,,,,,,,,,,,matlab,Microsoft Office,statistiques,biomechanics,physiology,machine learning,big data,motion sensor,,,,,,,,,,,,,,,,,
4,male,"Data Scientist Intern, Caisse des Dépôts et Consignations",non,4,ShorTouch Ambassador,-,1,Junior Data Scientist,ShorTouch -,3,,,,,,,,,,,,,,,,,,,,,,"Engineering French ""Grande Ecole"" Cursus at ENSAE ParisTech  -  Ponts (50)",statistics & data science,NA,Lycée Saint Louis  -  Paris (75),mathematics,NA,,,,,,,,,,,,,MICROSOFT OFFICE,MS OFFICE,SAS,,,,,,,,,,,,,,,,,,,,,,
